   3m    6m   yr   mon day
  5.19  5.47 1973.  1. 12.
  5.40  5.63 1973.  1. 19.
  5.67  5.81 1973.  1. 26.
  5.70  5.88 1973.  2.  2.
  5.56  5.76 1973.  2.  9.
  5.43  5.64 1973.  2. 16.
  5.58  5.84 1973.  2. 23.
  5.81  6.11 1973.  3.  2.
  5.85  6.29 1973.  3.  9.
  6.05  6.56 1973.  3. 16.
  6.31  6.70 1973.  3. 23.
  6.29  6.67 1973.  3. 30.
  6.45  6.68 1973.  4.  6.
  6.20  6.40 1973.  4. 13.
  6.16  6.43 1973.  4. 20.
  6.23  6.56 1973.  4. 27.
  6.24  6.56 1973.  5.  4.
  6.07  6.42 1973.  5. 11.
  6.22  6.48 1973.  5. 18.
  6.56  6.79 1973.  5. 25.
  6.91  6.99 1973.  6.  1.
  7.07  7.09 1973.  6.  8.
  7.15  7.16 1973.  6. 15.
  7.25  7.27 1973.  6. 22.
  7.32  7.43 1973.  6. 29.
  7.94  7.95 1973.  7.  6.
  7.78  7.86 1973.  7. 13.
  8.03  8.17 1973.  7. 20.
  8.17  8.35 1973.  7. 27.
  8.30  8.43 1973.  8.  3.
  8.70  8.79 1973.  8. 10.
  8.88  8.78 1973.  8. 17.
  8.71  8.57 1973.  8. 24.
  8.62  8.58 1973.  8. 31.
  8.80  8.75 1973.  9.  7.
  8.94  8.97 1973.  9. 14.
  8.38  8.52 1973.  9. 21.
  7.13  7.63 1973.  9. 28.
  7.42  7.59 1973. 10.  5.
  7.14  7.32 1973. 10. 12.
  7.16  7.24 1973. 10. 19.
  7.07  7.09 1973. 10. 26.
  7.38  7.43 1973. 11.  2.
  8.12  8.06 1973. 11.  9.
  8.11  8.30 1973. 11. 16.
  7.72  7.85 1973. 11. 23.
  7.52  7.77 1973. 11. 30.
  7.47  7.94 1973. 12.  7.
  7.51  7.52 1973. 12. 14.
  7.35  7.32 1973. 12. 21.
  7.50  7.46 1973. 12. 28.
  7.49  7.48 1974.  1.  4.
  7.72  7.66 1974.  1. 11.
  7.89  7.79 1974.  1. 18.
  7.99  7.81 1974.  1. 25.
  7.55  7.31 1974.  2.  1.
  7.03  6.91 1974.  2.  8.
  7.06  6.86 1974.  2. 15.
  7.07  6.87 1974.  2. 22.
  7.36  7.27 1974.  3.  1.
  7.71  7.53 1974.  3.  8.
  7.82  7.59 1974.  3. 15.
  8.06  8.02 1974.  3. 22.
  8.35  8.24 1974.  3. 29.
  8.51  8.31 1974.  4.  5.
  8.49  8.34 1974.  4. 12.
  8.05  8.18 1974.  4. 19.
  8.10  8.27 1974.  4. 26.
  8.81  8.73 1974.  5.  3.
  8.60  8.71 1974.  5. 10.
  8.00  8.12 1974.  5. 17.
  7.90  8.28 1974.  5. 24.
  8.04  8.26 1974.  5. 31.
  8.05  8.16 1974.  6.  7.
  8.23  8.32 1974.  6. 14.
  7.88  8.04 1974.  6. 21.
  7.45  7.96 1974.  6. 28.
  7.53  8.15 1974.  7.  5.
  7.45  8.05 1974.  7. 12.
  7.72  7.83 1974.  7. 19.
  7.43  7.64 1974.  7. 26.
  7.84  8.38 1974.  8.  2.
  8.75  8.82 1974.  8.  9.
  8.75  8.78 1974.  8. 16.
  9.29  9.41 1974.  8. 23.
  9.37  9.61 1974.  8. 30.
  9.34  9.39 1974.  9.  6.
  9.10  8.92 1974.  9. 13.
  7.64  8.30 1974.  9. 20.
  6.81  7.91 1974.  9. 27.
  6.64  7.66 1974. 10.  4.
  7.24  7.70 1974. 10. 11.
  7.73  7.79 1974. 10. 18.
  7.60  7.62 1974. 10. 25.
  7.95  7.86 1974. 11.  1.
  7.66  7.65 1974. 11.  8.
  7.26  7.39 1974. 11. 15.
  7.46  7.42 1974. 11. 22.
  7.45  7.57 1974. 11. 29.
  7.44  7.34 1974. 12.  6.
  7.24  7.04 1974. 12. 13.
  6.92  6.99 1974. 12. 20.
  7.01  7.11 1974. 12. 27.
  6.96  6.99 1975.  1.  3.
  6.59  6.64 1975.  1. 10.
  6.54  6.54 1975.  1. 17.
  5.98  6.14 1975.  1. 24.
  5.68  5.92 1975.  1. 31.
  5.61  5.65 1975.  2.  7.
  5.65  5.70 1975.  2. 14.
  5.25  5.43 1975.  2. 21.
  5.47  5.66 1975.  2. 28.
  5.57  5.68 1975.  3.  7.
  5.46  5.56 1975.  3. 14.
  5.41  5.54 1975.  3. 21.
  5.53  5.69 1975.  3. 28.
  5.62  5.90 1975.  4.  4.
  5.74  6.09 1975.  4. 11.
  5.44  5.86 1975.  4. 18.
  5.66  6.09 1975.  4. 25.
  5.51  5.95 1975.  5.  2.
  5.41  5.77 1975.  5.  9.
  5.04  5.51 1975.  5. 16.
  5.16  5.45 1975.  5. 23.
  5.23  5.50 1975.  5. 30.
  5.23  5.48 1975.  6.  6.
  5.00  5.25 1975.  6. 13.
  5.24  5.55 1975.  6. 20.
  5.80  6.07 1975.  6. 27.
  5.98  6.28 1975.  7.  4.
  6.06  6.39 1975.  7. 11.
  6.05  6.41 1975.  7. 18.
  6.27  6.65 1975.  7. 25.
  6.28  6.69 1975.  8.  1.
  6.42  6.88 1975.  8.  8.
  6.42  6.93 1975.  8. 15.
  6.46  7.00 1975.  8. 22.
  6.49  6.98 1975.  8. 29.
  6.38  6.89 1975.  9.  5.
  6.43  6.88 1975.  9. 12.
  6.45  6.97 1975.  9. 19.
  6.38  6.90 1975.  9. 26.
  6.46  6.91 1975. 10.  3.
  6.23  6.53 1975. 10. 10.
  6.01  6.25 1975. 10. 17.
  5.73  6.06 1975. 10. 24.
  5.58  5.82 1975. 10. 31.
  5.50  5.71 1975. 11.  7.
  5.37  5.65 1975. 11. 14.
  5.49  5.85 1975. 11. 21.
  5.54  5.98 1975. 11. 28.
  5.57  6.04 1975. 12.  5.
  5.60  6.06 1975. 12. 12.
  5.44  5.85 1975. 12. 19.
  5.28  5.60 1975. 12. 26.
  5.19  5.49 1976.  1.  2.
  5.07  5.32 1976.  1.  9.
  4.84  5.11 1976.  1. 16.
  4.78  5.06 1976.  1. 23.
  4.72  5.00 1976.  1. 30.
  4.90  5.15 1976.  2.  6.
  4.85  5.13 1976.  2. 13.
  4.87  5.22 1976.  2. 20.
  4.90  5.28 1976.  2. 27.
  5.20  5.65 1976.  3.  5.
  4.99  5.47 1976.  3. 12.
  4.98  5.43 1976.  3. 19.
  4.87  5.26 1976.  3. 26.
  4.97  5.34 1976.  4.  2.
  4.91  5.22 1976.  4.  9.
  4.80  5.04 1976.  4. 16.
  4.78  5.11 1976.  4. 23.
  4.88  5.24 1976.  4. 30.
  4.91  5.30 1976.  5.  7.
  5.11  5.51 1976.  5. 14.
  5.33  5.79 1976.  5. 21.
  5.47  5.89 1976.  5. 28.
  5.53  5.90 1976.  6.  4.
  5.44  5.75 1976.  6. 11.
  5.38  5.74 1976.  6. 18.
  5.34  5.71 1976.  6. 25.
  5.36  5.75 1976.  7.  2.
  5.34  5.61 1976.  7.  9.
  5.15  5.44 1976.  7. 16.
  5.23  5.54 1976.  7. 23.
  5.17  5.45 1976.  7. 30.
  5.16  5.46 1976.  8.  6.
  5.17  5.42 1976.  8. 13.
  5.15  5.40 1976.  8. 20.
  5.11  5.35 1976.  8. 27.
  5.09  5.35 1976.  9.  3.
  5.11  5.31 1976.  9. 10.
  5.10  5.31 1976.  9. 17.
  5.05  5.27 1976.  9. 24.
  5.06  5.30 1976. 10.  1.
  5.04  5.17 1976. 10.  8.
  4.86  4.98 1976. 10. 15.
  4.84  4.97 1976. 10. 22.
  4.90  5.07 1976. 10. 29.
  4.83  5.00 1976. 11.  5.
  4.92  5.06 1976. 11. 12.
  4.80  4.92 1976. 11. 19.
  4.60  4.68 1976. 11. 26.
  4.42  4.55 1976. 12.  3.
  4.41  4.52 1976. 12. 10.
  4.33  4.53 1976. 12. 17.
  4.27  4.47 1976. 12. 24.
  4.34  4.51 1976. 12. 31.
  4.49  4.64 1977.  1.  7.
  4.58  4.79 1977.  1. 14.
  4.65  4.86 1977.  1. 21.
  4.72  4.97 1977.  1. 28.
  4.71  4.99 1977.  2.  4.
  4.62  4.85 1977.  2. 11.
  4.63  4.84 1977.  2. 18.
  4.71  4.94 1977.  2. 25.
  4.66  4.93 1977.  3.  4.
  4.63  4.92 1977.  3. 11.
  4.59  4.87 1977.  3. 18.
  4.57  4.85 1977.  3. 25.
  4.57  4.81 1977.  4.  1.
  4.58  4.84 1977.  4.  8.
  4.55  4.75 1977.  4. 15.
  4.51  4.76 1977.  4. 22.
  4.51  4.84 1977.  4. 29.
  4.75  5.01 1977.  5.  6.
  4.96  5.23 1977.  5. 13.
  5.05  5.30 1977.  5. 20.
  5.06  5.25 1977.  5. 27.
  5.03  5.23 1977.  6.  3.
  5.06  5.24 1977.  6. 10.
  5.01  5.20 1977.  6. 17.
  5.01  5.22 1977.  6. 24.
  4.97  5.19 1977.  7.  1.
  5.12  5.29 1977.  7.  8.
  5.16  5.37 1977.  7. 15.
  5.21  5.43 1977.  7. 22.
  5.27  5.51 1977.  7. 29.
  5.35  5.69 1977.  8.  5.
  5.47  5.81 1977.  8. 12.
  5.56  5.92 1977.  8. 19.
  5.53  5.87 1977.  8. 26.
  5.56  5.86 1977.  9.  2.
  5.65  5.93 1977.  9.  9.
  5.86  6.05 1977.  9. 16.
  5.90  6.06 1977.  9. 23.
  5.89  6.16 1977.  9. 30.
  6.09  6.33 1977. 10.  7.
  6.32  6.52 1977. 10. 14.
  6.17  6.49 1977. 10. 21.
  6.09  6.37 1977. 10. 28.
  6.20  6.49 1977. 11.  4.
  6.15  6.44 1977. 11. 11.
  6.07  6.38 1977. 11. 18.
  6.06  6.37 1977. 11. 25.
  6.04  6.37 1977. 12.  2.
  6.07  6.38 1977. 12.  9.
  6.03  6.37 1977. 12. 16.
  6.03  6.40 1977. 12. 23.
  6.16  6.47 1977. 12. 30.
  6.20  6.45 1978.  1.  6.
  6.60  6.84 1978.  1. 13.
  6.48  6.74 1978.  1. 20.
  6.44  6.72 1978.  1. 27.
  6.42  6.70 1978.  2.  3.
  6.44  6.73 1978.  2. 10.
  6.48  6.79 1978.  2. 17.
  6.45  6.75 1978.  2. 24.
  6.39  6.70 1978.  3.  3.
  6.29  6.64 1978.  3. 10.
  6.27  6.61 1978.  3. 17.
  6.21  6.57 1978.  3. 24.
  6.34  6.66 1978.  3. 31.
  6.37  6.73 1978.  4.  7.
  6.29  6.70 1978.  4. 14.
  6.22  6.70 1978.  4. 21.
  6.26  6.80 1978.  4. 28.
  6.38  6.90 1978.  5.  5.
  6.37  6.99 1978.  5. 12.
  6.32  7.03 1978.  5. 19.
  6.51  7.13 1978.  5. 26.
  6.62  7.14 1978.  6.  2.
  6.62  7.12 1978.  6.  9.
  6.65  7.16 1978.  6. 16.
  6.79  7.31 1978.  6. 23.
  6.93  7.38 1978.  6. 30.
  7.05  7.43 1978.  7.  7.
  7.16  7.51 1978.  7. 14.
  7.05  7.47 1978.  7. 21.
  6.83  7.38 1978.  7. 28.
  6.80  7.24 1978.  8.  4.
  6.79  7.18 1978.  8. 11.
  7.12  7.40 1978.  8. 18.
  7.25  7.46 1978.  8. 25.
  7.50  7.65 1978.  9.  1.
  7.60  7.69 1978.  9.  8.
  7.77  7.87 1978.  9. 15.
  8.02  8.10 1978.  9. 22.
  7.96  8.28 1978.  9. 29.
  8.14  8.39 1978. 10.  6.
  7.98  8.39 1978. 10. 13.
  7.89  8.59 1978. 10. 20.
  7.70  8.57 1978. 10. 27.
  8.73  9.26 1978. 11.  3.
  8.79  9.42 1978. 11. 10.
  8.14  9.08 1978. 11. 17.
  8.63  9.07 1978. 11. 24.
  8.98  9.27 1978. 12.  1.
  8.93  9.24 1978. 12.  8.
  8.93  9.24 1978. 12. 15.
  9.28  9.58 1978. 12. 22.
  9.25  9.46 1978. 12. 29.
  9.34  9.45 1979.  1.  5.
  9.30  9.50 1979.  1. 12.
  9.44  9.56 1979.  1. 19.
  9.34  9.44 1979.  1. 26.
  9.28  9.34 1979.  2.  2.
  9.24  9.37 1979.  2.  9.
  9.28  9.36 1979.  2. 16.
  9.41  9.50 1979.  2. 23.
  9.44  9.50 1979.  3.  2.
  9.44  9.45 1979.  3.  9.
  9.51  9.51 1979.  3. 16.
  9.54  9.47 1979.  3. 23.
  9.46  9.43 1979.  3. 30.
  9.53  9.46 1979.  4.  6.
  9.70  9.65 1979.  4. 13.
  9.41  9.45 1979.  4. 20.
  9.23  9.40 1979.  4. 27.
  9.58  9.60 1979.  5.  4.
  9.63  9.61 1979.  5. 11.
  9.60  9.50 1979.  5. 18.
  9.64  9.49 1979.  5. 25.
  9.55  9.44 1979.  6.  1.
  9.36  9.29 1979.  6.  8.
  8.97  9.01 1979.  6. 15.
  8.96  8.99 1979.  6. 22.
  8.83  8.88 1979.  6. 29.
  9.10  8.97 1979.  7.  6.
  9.28  9.19 1979.  7. 13.
  9.31  9.31 1979.  7. 20.
  9.28  9.39 1979.  7. 27.
  9.23  9.31 1979.  8.  3.
  9.40  9.39 1979.  8. 10.
  9.52  9.47 1979.  8. 17.
  9.55  9.53 1979.  8. 24.
  9.74  9.70 1979.  8. 31.
 10.20 10.15 1979.  9.  7.
 10.45 10.27 1979.  9. 14.
 10.26 10.23 1979.  9. 21.
 10.14 10.16 1979.  9. 28.
 10.43 10.43 1979. 10.  5.
 11.62 11.53 1979. 10. 12.
 11.91 11.82 1979. 10. 19.
 12.60 12.54 1979. 10. 26.
 12.07 12.14 1979. 11.  2.
 12.25 12.28 1979. 11.  9.
 11.90 11.92 1979. 11. 16.
 11.77 11.84 1979. 11. 23.
 11.26 11.25 1979. 11. 30.
 11.75 11.65 1979. 12.  7.
 12.34 12.09 1979. 12. 14.
 12.06 11.80 1979. 12. 21.
 11.99 11.85 1979. 12. 28.
 12.10 11.93 1980.  1.  4.
 11.72 11.73 1980.  1. 11.
 11.91 11.77 1980.  1. 18.
 12.17 11.88 1980.  1. 25.
 12.15 11.96 1980.  2.  1.
 12.05 12.03 1980.  2.  8.
 12.36 12.46 1980.  2. 15.
 13.38 13.34 1980.  2. 22.
 13.78 13.82 1980.  2. 29.
 15.37 14.90 1980.  3.  7.
 15.32 15.02 1980.  3. 14.
 14.76 14.83 1980.  3. 21.
 15.55 15.42 1980.  3. 28.
 14.78 14.75 1980.  4.  4.
 14.30 14.11 1980.  4. 11.
 13.57 13.03 1980.  4. 18.
 12.18 11.72 1980.  4. 25.
 10.47 10.38 1980.  5.  2.
  9.14  9.09 1980.  5.  9.
  8.53  8.68 1980.  5. 16.
  8.15  8.26 1980.  5. 23.
  7.70  7.87 1980.  5. 30.
  7.51  7.77 1980.  6.  6.
  6.44  6.91 1980.  6. 13.
  6.76  6.93 1980.  6. 20.
  7.42  7.48 1980.  6. 27.
  7.92  7.88 1980.  7.  4.
  8.08  8.03 1980.  7. 11.
  7.98  7.99 1980.  7. 18.
  7.93  7.99 1980.  7. 25.
  8.44  8.49 1980.  8.  1.
  8.58  8.69 1980.  8.  8.
  8.60  8.91 1980.  8. 15.
  9.41  9.83 1980.  8. 22.
 10.01 10.36 1980.  8. 29.
  9.78  9.92 1980.  9.  5.
 10.09 10.26 1980.  9. 12.
 10.26 10.60 1980.  9. 19.
 10.45 11.00 1980.  9. 26.
 11.39 11.47 1980. 10.  3.
 11.24 11.17 1980. 10. 10.
 11.07 11.17 1980. 10. 17.
 11.66 11.64 1980. 10. 24.
 12.51 12.59 1980. 10. 31.
 13.28 13.18 1980. 11.  7.
 13.29 13.03 1980. 11. 14.
 13.98 13.71 1980. 11. 21.
 14.31 14.05 1980. 11. 28.
 14.98 14.57 1980. 12.  5.
 16.76 15.39 1980. 12. 12.
 16.21 15.18 1980. 12. 19.
 14.62 13.81 1980. 12. 26.
 14.31 13.73 1981.  1.  2.
 14.31 13.69 1981.  1.  9.
 15.19 14.06 1981.  1. 16.
 15.65 14.59 1981.  1. 23.
 15.01 14.01 1981.  1. 30.
 14.90 13.92 1981.  2.  6.
 15.51 14.63 1981.  2. 13.
 14.68 14.00 1981.  2. 20.
 14.19 13.76 1981.  2. 27.
 14.44 14.00 1981.  3.  6.
 13.79 13.10 1981.  3. 13.
 12.63 11.92 1981.  3. 20.
 12.91 12.51 1981.  3. 27.
 12.60 12.18 1981.  4.  3.
 13.67 13.36 1981.  4. 10.
 13.66 13.50 1981.  4. 17.
 13.74 13.72 1981.  4. 24.
 14.52 14.09 1981.  5.  1.
 16.44 15.50 1981.  5.  8.
 16.75 15.68 1981.  5. 15.
 16.61 15.52 1981.  5. 22.
 15.61 14.55 1981.  5. 29.
 15.69 14.62 1981.  6.  5.
 14.79 13.99 1981.  6. 12.
 14.31 13.86 1981.  6. 19.
 14.39 13.98 1981.  6. 26.
 14.34 14.04 1981.  7.  3.
 14.82 14.45 1981.  7. 10.
 14.56 14.39 1981.  7. 17.
 15.50 15.30 1981.  7. 24.
 15.07 15.00 1981.  7. 31.
 15.43 15.40 1981.  8.  7.
 15.25 15.28 1981.  8. 14.
 15.63 15.58 1981.  8. 21.
 15.71 15.76 1981.  8. 28.
 15.59 15.72 1981.  9.  4.
 15.14 15.38 1981.  9. 11.
 14.35 14.51 1981.  9. 18.
 14.29 14.43 1981.  9. 25.
 14.37 14.72 1981. 10.  2.
 13.81 13.98 1981. 10.  9.
 13.41 13.64 1981. 10. 16.
 13.37 13.82 1981. 10. 23.
 13.14 13.43 1981. 10. 30.
 12.21 12.54 1981. 11.  6.
 10.93 11.44 1981. 11. 13.
 10.31 10.82 1981. 11. 20.
 10.23 10.65 1981. 11. 27.
 10.39 10.83 1981. 12.  4.
 10.47 11.06 1981. 12. 11.
 10.94 11.51 1981. 12. 18.
 11.14 12.03 1981. 12. 25.
 11.35 12.25 1982.  1.  1.
 11.59 12.37 1982.  1.  8.
 12.07 12.85 1982.  1. 15.
 12.66 13.13 1982.  1. 22.
 12.79 12.96 1982.  1. 29.
 13.68 13.72 1982.  2.  5.
 14.12 14.01 1982.  2. 12.
 14.06 14.04 1982.  2. 19.
 12.31 12.84 1982.  2. 26.
 12.26 12.58 1982.  3.  5.
 12.47 12.55 1982.  3. 12.
 12.85 12.89 1982.  3. 19.
 12.72 12.78 1982.  3. 26.
 13.32 13.17 1982.  4.  2.
 13.10 13.06 1982.  4.  9.
 12.77 12.92 1982.  4. 16.
 12.39 12.61 1982.  4. 23.
 12.42 12.57 1982.  4. 30.
 12.54 12.59 1982.  5.  7.
 12.38 12.37 1982.  5. 14.
 11.90 11.97 1982.  5. 21.
 11.54 11.72 1982.  5. 28.
 12.09 12.12 1982.  6.  4.
 12.06 12.19 1982.  6. 11.
 12.46 12.83 1982.  6. 18.
 12.88 13.25 1982.  6. 25.
 12.81 13.08 1982.  7.  2.
 12.23 12.57 1982.  7.  9.
 11.71 12.06 1982.  7. 16.
 10.64 11.21 1982.  7. 23.
 10.51 11.39 1982.  7. 30.
  9.80 10.78 1982.  8.  6.
  9.70 10.70 1982.  8. 13.
  7.88  9.17 1982.  8. 20.
  7.50  8.99 1982.  8. 27.
  8.31  9.59 1982.  9.  3.
  8.34  9.63 1982.  9. 10.
  8.03  9.57 1982.  9. 17.
  7.53  9.21 1982.  9. 24.
  7.52  8.85 1982. 10.  1.
  7.93  8.86 1982. 10.  8.
  7.48  7.82 1982. 10. 15.
  7.54  7.93 1982. 10. 22.
  7.93  8.39 1982. 10. 29.
  7.78  8.24 1982. 11.  5.
  8.07  8.39 1982. 11. 12.
  8.31  8.41 1982. 11. 19.
  7.94  8.18 1982. 11. 26.
  8.14  8.47 1982. 12.  3.
  7.96  8.30 1982. 12. 10.
  7.80  8.04 1982. 12. 17.
  7.91  8.04 1982. 12. 24.
  8.01  8.07 1982. 12. 31.
  7.92  7.95 1983.  1.  7.
  7.66  7.73 1983.  1. 14.
  7.75  7.85 1983.  1. 21.
  8.05  8.13 1983.  1. 28.
  8.16  8.29 1983.  2.  4.
  8.22  8.34 1983.  2. 11.
  8.16  8.28 1983.  2. 18.
  7.91  8.00 1983.  2. 25.
  7.97  7.97 1983.  3.  4.
  8.25  8.25 1983.  3. 11.
  8.31  8.35 1983.  3. 18.
  8.55  8.57 1983.  3. 25.
  8.64  8.67 1983.  4.  1.
  8.45  8.51 1983.  4.  8.
  8.16  8.25 1983.  4. 15.
  8.12  8.27 1983.  4. 22.
  8.11  8.16 1983.  4. 29.
  8.03  8.02 1983.  5.  6.
  8.03  8.05 1983.  5. 13.
  8.14  8.21 1983.  5. 20.
  8.48  8.50 1983.  5. 27.
  8.57  8.68 1983.  6.  3.
  8.76  8.88 1983.  6. 10.
  8.70  8.80 1983.  6. 17.
  8.97  9.02 1983.  6. 24.
  8.88  8.97 1983.  7.  1.
  9.07  9.24 1983.  7.  8.
  9.10  9.30 1983.  7. 15.
  9.10  9.24 1983.  7. 22.
  9.13  9.33 1983.  7. 29.
  9.41  9.58 1983.  8.  5.
  9.52  9.67 1983.  8. 12.
  9.35  9.45 1983.  8. 19.
  9.15  9.32 1983.  8. 26.
  9.26  9.52 1983.  9.  2.
  9.13  9.35 1983.  9.  9.
  9.08  9.21 1983.  9. 16.
  8.94  9.02 1983.  9. 23.
  8.75  8.89 1983.  9. 30.
  8.62  8.81 1983. 10.  7.
  8.79  8.97 1983. 10. 14.
  8.53  8.72 1983. 10. 21.
  8.66  8.88 1983. 10. 28.
  8.58  8.79 1983. 11.  4.
  8.77  8.93 1983. 11. 11.
  8.81  8.97 1983. 11. 18.
  8.79  8.94 1983. 11. 25.
  8.88  9.05 1983. 12.  2.
  8.97  9.16 1983. 12.  9.
  9.09  9.24 1983. 12. 16.
  9.00  9.19 1983. 12. 23.
  8.96  9.14 1983. 12. 30.
  8.95  9.12 1984.  1.  6.
  8.88  9.03 1984.  1. 13.
  8.88  8.95 1984.  1. 20.
  8.93  9.00 1984.  1. 27.
  8.91  8.97 1984.  2.  3.
  9.06  9.10 1984.  2. 10.
  9.09  9.21 1984.  2. 17.
  9.18  9.32 1984.  2. 24.
  9.18  9.33 1984.  3.  2.
  9.29  9.43 1984.  3.  9.
  9.43  9.59 1984.  3. 16.
  9.76  9.88 1984.  3. 23.
  9.72  9.85 1984.  3. 30.
  9.74  9.91 1984.  4.  6.
  9.65  9.79 1984.  4. 13.
  9.76  9.86 1984.  4. 20.
  9.64  9.79 1984.  4. 27.
  9.73  9.99 1984.  5.  4.
  9.97 10.28 1984.  5. 11.
  9.88 10.28 1984.  5. 18.
  9.79 10.42 1984.  5. 25.
  9.76 10.56 1984.  6.  1.
  9.81 10.49 1984.  6.  8.
  9.95 10.50 1984.  6. 15.
  9.91 10.56 1984.  6. 22.
  9.81 10.48 1984.  6. 29.
  9.92 10.43 1984.  7.  6.
 10.04 10.50 1984.  7. 13.
 10.11 10.55 1984.  7. 20.
 10.25 10.56 1984.  7. 27.
 10.42 10.63 1984.  8.  3.
 10.48 10.59 1984.  8. 10.
 10.31 10.52 1984.  8. 17.
 10.44 10.57 1984.  8. 24.
 10.65 10.75 1984.  8. 31.
 10.61 10.73 1984.  9.  7.
 10.38 10.51 1984.  9. 14.
 10.29 10.35 1984.  9. 21.
 10.24 10.34 1984.  9. 28.
 10.19 10.30 1984. 10.  5.
 10.01 10.12 1984. 10. 12.
  9.81  9.91 1984. 10. 19.
  9.33  9.46 1984. 10. 26.
  9.10  9.33 1984. 11.  2.
  8.65  8.95 1984. 11.  9.
  8.68  8.95 1984. 11. 16.
  8.55  8.65 1984. 11. 23.
  8.41  8.55 1984. 11. 30.
  8.44  8.61 1984. 12.  7.
  8.27  8.43 1984. 12. 14.
  7.81  8.03 1984. 12. 21.
  7.67  8.03 1984. 12. 28.
  7.83  8.17 1985.  1.  4.
  7.75  7.98 1985.  1. 11.
  7.73  7.98 1985.  1. 18.
  7.65  7.91 1985.  1. 25.
  7.92  8.09 1985.  2.  1.
  8.17  8.28 1985.  2.  8.
  8.21  8.29 1985.  2. 15.
  8.31  8.42 1985.  2. 22.
  8.47  8.70 1985.  3.  1.
  8.69  8.97 1985.  3.  8.
  8.55  8.95 1985.  3. 15.
  8.51  8.96 1985.  3. 22.
  8.29  8.71 1985.  3. 29.
  8.17  8.58 1985.  4.  5.
  8.08  8.41 1985.  4. 12.
  7.86  8.06 1985.  4. 19.
  7.77  8.00 1985.  4. 26.
  7.78  8.03 1985.  5.  3.
  7.76  7.92 1985.  5. 10.
  7.50  7.68 1985.  5. 17.
  7.25  7.41 1985.  5. 24.
  7.19  7.32 1985.  5. 31.
  7.01  7.10 1985.  6.  7.
  7.03  7.15 1985.  6. 14.
  6.81  6.97 1985.  6. 21.
  6.97  7.16 1985.  6. 28.
  6.90  6.98 1985.  7.  5.
  6.99  7.09 1985.  7. 12.
  7.07  7.18 1985.  7. 19.
  7.22  7.35 1985.  7. 26.
  7.28  7.44 1985.  8.  2.
  7.21  7.44 1985.  8.  9.
  7.13  7.34 1985.  8. 16.
  7.07  7.22 1985.  8. 23.
  7.07  7.22 1985.  8. 30.
  7.14  7.31 1985.  9.  6.
  7.23  7.42 1985.  9. 13.
  7.12  7.33 1985.  9. 20.
  6.89  7.00 1985.  9. 27.
  7.01  7.20 1985. 10.  4.
  7.17  7.36 1985. 10. 11.
  7.20  7.33 1985. 10. 18.
  7.22  7.38 1985. 10. 25.
  7.20  7.32 1985. 11.  1.
  7.25  7.32 1985. 11.  8.
  7.29  7.32 1985. 11. 15.
  7.23  7.29 1985. 11. 22.
  7.18  7.28 1985. 11. 29.
  7.24  7.31 1985. 12.  6.
  7.10  7.12 1985. 12. 13.
  7.06  7.06 1985. 12. 20.
  7.02  7.06 1985. 12. 27.
  7.04  7.11 1986.  1.  3.
  7.13  7.20 1986.  1. 10.
  7.17  7.26 1986.  1. 17.
  6.99  7.13 1986.  1. 24.
  6.98  7.07 1986.  1. 31.
  7.06  7.11 1986.  2.  7.
  7.11  7.18 1986.  2. 14.
  7.05  7.11 1986.  2. 21.
  7.04  7.04 1986.  2. 28.
  6.79  6.77 1986.  3.  7.
  6.59  6.58 1986.  3. 14.
  6.49  6.55 1986.  3. 21.
  6.39  6.42 1986.  3. 28.
  6.31  6.30 1986.  4.  4.
  6.07  6.08 1986.  4. 11.
  5.84  5.87 1986.  4. 18.
  6.03  6.06 1986.  4. 25.
  6.11  6.15 1986.  5.  2.
  6.05  6.08 1986.  5.  9.
  6.14  6.15 1986.  5. 16.
  6.20  6.25 1986.  5. 23.
  6.24  6.32 1986.  5. 30.
  6.42  6.48 1986.  6.  6.
  6.29  6.38 1986.  6. 13.
  6.10  6.19 1986.  6. 20.
  6.07  6.08 1986.  6. 27.
  5.97  5.93 1986.  7.  4.
  5.86  5.88 1986.  7. 11.
  5.75  5.81 1986.  7. 18.
  5.78  5.84 1986.  7. 25.
  5.83  5.85 1986.  8.  1.
  5.71  5.77 1986.  8.  8.
  5.60  5.59 1986.  8. 15.
  5.48  5.50 1986.  8. 22.
  5.27  5.31 1986.  8. 29.
  5.21  5.26 1986.  9.  5.
  5.20  5.36 1986.  9. 12.
  5.18  5.37 1986.  9. 19.
  5.24  5.38 1986.  9. 26.
  5.19  5.35 1986. 10.  3.
  5.05  5.10 1986. 10. 10.
  5.20  5.28 1986. 10. 17.
  5.29  5.37 1986. 10. 24.
  5.19  5.27 1986. 10. 31.
  5.26  5.35 1986. 11.  7.
  5.41  5.49 1986. 11. 14.
  5.36  5.41 1986. 11. 21.
  5.39  5.42 1986. 11. 28.
  5.42  5.44 1986. 12.  5.
  5.49  5.49 1986. 12. 12.
  5.57  5.59 1986. 12. 19.
  5.56  5.60 1986. 12. 26.
  5.65  5.64 1987.  1.  2.
  5.46  5.49 1987.  1.  9.
  5.35  5.41 1987.  1. 16.
  5.35  5.33 1987.  1. 23.
  5.51  5.47 1987.  1. 30.
  5.62  5.61 1987.  2.  6.
  5.75  5.75 1987.  2. 13.
